"indexk","kx","ky","band"
1,-0.9752,-0.7752,-1.4095
2,-0.9752,-0.7296,-1.3953
3,-0.9752,-0.684,-1.3531
4,-0.9752,-0.6384,-1.2864
5,-0.9752,-0.5928,-1.202
6,-0.9752,-0.5472,-1.1057
7,-0.9752,-0.5016,-0.999
8,-0.9752,-0.456,-0.8796
9,-0.9752,-0.4104,-0.7426
10,-0.9752,-0.3648,-0.5844
11,-0.9752,-0.3192,-0.4051
12,-0.9752,-0.2736,-0.2094
13,-0.9752,-0.228,-0.0055
14,-0.9752,-0.1824,0.1954
15,-0.9752,-0.1368,0.3793
16,-0.9752,-0.0912,0.5296
17,-0.9752,-0.0456,0.6291
18,-0.9752,0.,0.6641
19,-0.9752,0.0456,0.6291
20,-0.9752,0.0912,0.5296
21,-0.9752,0.1368,0.3793
22,-0.9752,0.1824,0.1954
23,-0.9752,0.228,-0.0055
24,-0.9752,0.2736,-0.2094
25,-0.9752,0.3192,-0.4051
26,-0.9752,0.3648,-0.5844
27,-0.9752,0.4104,-0.7426
28,-0.9752,0.456,-0.8796
29,-0.9752,0.5016,-0.999
30,-0.9752,0.5472,-1.1057
31,-0.9752,0.5928,-1.202
32,-0.9752,0.6384,-1.2864
33,-0.9752,0.684,-1.3531
34,-0.9752,0.7296,-1.3953
35,-0.9752,0.7752,-1.4095
36,-0.9178,-0.7752,-1.3678
37,-0.9178,-0.7296,-1.3307
38,-0.9178,-0.684,-1.2786
39,-0.9178,-0.6384,-1.2125
40,-0.9178,-0.5928,-1.1333
41,-0.9178,-0.5472,-1.0413
42,-0.9178,-0.5016,-0.9354
43,-0.9178,-0.456,-0.8131
44,-0.9178,-0.4104,-0.6717
45,-0.9178,-0.3648,-0.5097
46,-0.9178,-0.3192,-0.3285
47,-0.9178,-0.2736,-0.1327
48,-0.9178,-0.228,0.07
49,-0.9178,-0.1824,0.269
50,-0.9178,-0.1368,0.4508
51,-0.9178,-0.0912,0.5991
52,-0.9178,-0.0456,0.6972
53,-0.9178,0.,0.7317
54,-0.9178,0.0456,0.6972
55,-0.9178,0.0912,0.5991
56,-0.9178,0.1368,0.4508
57,-0.9178,0.1824,0.269
58,-0.9178,0.228,0.07
59,-0.9178,0.2736,-0.1327
60,-0.9178,0.3192,-0.3285
61,-0.9178,0.3648,-0.5097
62,-0.9178,0.4104,-0.6717
63,-0.9178,0.456,-0.8131
64,-0.9178,0.5016,-0.9354
65,-0.9178,0.5472,-1.0413
66,-0.9178,0.5928,-1.1333
67,-0.9178,0.6384,-1.2125
68,-0.9178,0.684,-1.2786
69,-0.9178,0.7296,-1.3307
70,-0.9178,0.7752,-1.3678
71,-0.8605,-0.7752,-1.2848
72,-0.8605,-0.7296,-1.2511
73,-0.8605,-0.684,-1.2021
74,-0.8605,-0.6384,-1.1401
75,-0.8605,-0.5928,-1.0657
76,-0.8605,-0.5472,-0.9783
77,-0.8605,-0.5016,-0.8761
78,-0.8605,-0.456,-0.7566
79,-0.8605,-0.4104,-0.6175
80,-0.8605,-0.3648,-0.4579
81,-0.8605,-0.3192,-0.2793
82,-0.8605,-0.2736,-0.0862
83,-0.8605,-0.228,0.1139
84,-0.8605,-0.1824,0.3107
85,-0.8605,-0.1368,0.4906
86,-0.8605,-0.0912,0.6377
87,-0.8605,-0.0456,0.7352
88,-0.8605,0.,0.7695
89,-0.8605,0.0456,0.7352
90,-0.8605,0.0912,0.6377
