indexk,qx,qy,g2EPW,g2W90,g2W90long,g2W90tran,susRe,susIm,d2EPW,d2W90,d2W90long,d2W90tran
1,-0.9041,-1.5659,1.0131053694847216e8,70524.17489118209,49250.86722714362,21273.307664038697,-22364.17572141261,14192.58580130264,-2.2149698489494923e8,-129107.08210209767,-96843.18087460072,-32263.901227497045
2,-0.8877,-1.5564,1.0073233850867271e8,70429.3172496598,49164.36527304295,21264.95197661663,-22680.270723085778,14280.292527905887,-2.2564154506276315e8,-131557.12436771567,-98970.47840716397,-32586.645960552505
3,-0.8712,-1.5469,9.905123512531304e7,70144.55757647566,48906.78430803917,21237.7732684363,-22795.173391630997,14579.612043656734,-2.2793333617220396e8,-132507.68138669457,-99086.98233910663,-33420.69904758771
4,-0.8548,-1.5375,9.641538054661694e7,69669.83197043212,48482.26371138873,21187.56825904353,-22986.056406661486,15233.763798223756,-2.3202473241507456e8,-134051.6719296987,-99224.62107796512,-34827.05085173347
5,-0.8383,-1.528,9.303537219892739e7,69006.46349138342,47896.664116614505,21109.79937476929,-23243.816639578956,16454.693264378122,-2.377255271494958e8,-136044.1811090072,-99226.16957240688,-36818.011536600454
6,-0.8219,-1.5185,8.914365264938858e7,68158.63093442662,47157.75505369105,21000.87588073573,-23536.720912035184,18836.923660293643,-2.4341242654863626e8,-138096.27029053456,-98728.7295176773,-39367.540772857
7,-0.8055,-1.509,8.495775886057481e7,67134.41600933865,46275.13163499088,20859.284374347975,-23785.53462817491,22403.25982221203,-2.4485283433411735e8,-139383.10446378193,-97058.85890712212,-42324.24555666
8,-0.789,-1.4995,8.065537099986573e7,65946.03227156101,45260.09801817031,20685.934253390194,-23873.285139440126,24975.82377758687,-2.362065289971891e8,-138832.88035017607,-93543.79914928644,-45289.08120089016
9,-0.7726,-1.49,7.636334710447372e7,64609.22979140219,44125.089156141854,20484.14063525996,-23739.541159381723,23926.29867437598,-2.1574599519345436e8,-135977.64754550488,-88339.95112661156,-47637.696418892934
10,-0.7561,-1.4805,7.215865483624889e7,63142.217903931756,42883.60454615459,20258.613357777336,-23464.82632258478,20910.742846520436,-1.8923209085341588e8,-131533.35384625522,-82651.05032898663,-48882.30351726835
11,-0.7397,-1.471,6.807722531333831e7,61564.59129386753,41549.267297325634,20015.323996541705,-23156.486493836008,18925.365284789754,-1.6361074100734437e8,-126555.71620340474,-77527.16796669942,-49028.54823670393
12,-0.7233,-1.4615,6.412678230344286e7,59896.640736191,40136.297970178406,19760.342766012123,-22872.45188300099,17841.691112676457,-1.419520644514165e8,-121750.08080591254,-73295.06597308877,-48455.014832822686
13,-0.7068,-1.452,6.0300614162157714e7,58159.16742449825,38659.35793801973,19499.80948647833,-22642.26968084597,16812.5052301833,-1.2448947811494952e8,-117467.13049590333,-69899.56540227949,-47567.56509362384
14,-0.6904,-1.4426,5.6590263128826424e7,56373.65418792752,37132.742911190006,19240.911276737705,-22464.0794002699,16377.280027554601,-1.1051306935109916e8,-113797.65889064773,-67174.82790317944,-46622.83098746848
15,-0.674,-1.4331,5.299574228929559e7,54562.508730844085,35571.31571369403,18991.19301715038,-22335.108989864962,16377.672456280963,-9.924567305030109e7,-110726.48742011981,-64969.5634576878,-45756.92396243232
16,-0.6575,-1.4236,4.953201690640223e7,52749.12440946767,33990.89985662051,18758.22455284711,-22249.086560726064,16570.979709603955,-9.002222051677893e7,-108178.11557394297,-63138.623808324715,-45039.49176561806
17,-0.6411,-1.4141,4.623013894923908e7,50957.64869525478,32405.9530716672,18551.695623587544,-22194.50588259222,17045.772033145713,-8.228936332800722e7,-106044.88665169402,-61551.87268768382,-44493.013964010104
18,-0.6246,-1.4046,4.3128998081827074e7,49212.50678820583,30832.81572763552,18379.691060570418,-22156.842661186845,18025.34118654364,-7.560909605264027e7,-104185.88916983291,-60075.888540651365,-44110.00062918162
19,-0.6082,-1.3951,4.019799639530669e7,47537.81472554215,29285.363235897647,18252.451489644638,-22081.489697156292,19985.77386501579,-6.950137890566334e7,-102036.41290314992,-58260.062263876964,-43776.35063927246
20,-0.5918,-1.3856,1.0425980254377227e6,45956.810226293186,27778.677277467697,18178.132948825663,-21842.935195135426,21322.212429507847,-1.774066043764034e6,-97997.88080173837,-54892.88914006163,-43104.99166167683
21,-0.5753,-1.3761,39160.60571182401,44491.36656103729,26327.36315561609,18164.003405421394,-21323.862082145122,18001.59459804237,-65306.90303772469,-90404.19707459005,-48833.40637242026,-41570.79070217023
