indexk,kx,ky,g2EPW,g2W90,susRe,susIm,d2EPW,d2W90
1,-0.9041,-1.5659,5.927821042707976e6,26889.299932759917,-16069.935343217525,0.8190213494282099,-1.108009110714199e7,-46710.11660957807
2,-0.8877,-1.5564,6.419411611270266e6,29404.348451653823,-16282.39736538015,1.1144877273230447,-1.228778693697024e7,-50669.04534099732
3,-0.8712,-1.5469,7.846437695544724e6,36263.2025796841,-16913.539477432925,2.6369300289198097,-1.5911979880112251e7,-62099.07886935253
4,-0.8548,-1.5375,1.0071998992428495e7,45644.40599982741,-17971.55636910531,9.531332457963924,-2.196976253002234e7,-79746.76986417276
5,-0.8383,-1.528,1.2889279111586528e7,55207.23036271377,-19474.084098614832,44.37669163724698,-3.046031588426724e7,-101625.62650834321
6,-0.8219,-1.5185,1.6052991062301928e7,62840.28022473528,-21516.607784345288,235.56610900877462,-4.1502159503338225e7,-125706.38371021954
7,-0.8055,-1.509,1.9319140982058864e7,67257.18332461026,-24283.913874464128,1277.3669464725467,-5.5505631522202305e7,-150596.961450638
8,-0.789,-1.4995,2.248565586032452e7,68237.86815543275,-28187.80490626202,6573.472416104946,-7.368294936674388e7,-176765.70500952852
9,-0.7726,-1.49,2.5425312543615147e7,66477.96524030218,-34065.392164658646,30203.269868351115,-9.879553199497022e7,-207454.89098849858
10,-0.7561,-1.4805,2.810425083163956e7,63172.11640311182,-42870.91267284682,110658.79330361634,-1.342304857605871e8,-245559.71066560165
11,-0.7397,-1.471,3.0582091758268595e7,59543.30209065747,-53160.60321698537,259901.99071577028,-1.756763642366046e8,-280304.10963689093
12,-0.7233,-1.4615,3.2991484775121395e7,56507.14041856747,-58215.14055542218,308177.9097623603,-2.0036076535871714e8,-281608.8181236583
13,-0.7068,-1.452,3.549709472432302e7,54554.247846143095,-55497.03767575212,201886.66264575862,-1.9809258932560155e8,-250785.2990329344
14,-0.6904,-1.4426,3.823969575518389e7,53812.90139710082,-50059.06538316526,100459.42096382397,-1.863387933335581e8,-217569.4258665925
15,-0.674,-1.4331,4.1280376937993824e7,54185.228447595844,-45032.1298439556,47402.92227760398,-1.7609183603325385e8,-193738.6459222148
16,-0.6575,-1.4236,4.456718024698027e7,55459.34589528578,-41222.40436344476,23259.197953671533,-1.7053263632409796e8,-179589.94933078636
17,-0.6411,-1.4141,4.794333053785772e7,57361.76589265417,-38409.68155231713,12317.850088838768,-1.686764753184912e8,-171986.50898425217
18,-0.6246,-1.4046,5.11992854312698e7,59575.26389816856,-36320.80537409114,7085.831241844412,-1.6902175424816212e8,-168304.25110493644
19,-0.6082,-1.3951,5.41475594123039e7,61765.88874196442,-34695.87222695418,4350.591873953106,-1.6999370719879603e8,-166323.21638720846
20,-0.5918,-1.3856,5.668466444005638e7,63637.00692665557,-33436.131288225515,2856.967463190042,-1.7095493440667114e8,-164909.74829541415
21,-0.5753,-1.3761,5.881016883048633e7,64990.32544949622,-32466.333100243533,2008.4995857343251,-1.7158348980195874e8,-163359.62446502154
22,-0.5589,-1.3666,6.0597074882819735e7,65759.08064015457,-31716.902292597344,1500.7743247830786,-1.718220507591531e8,-161320.53719406074
23,-0.5425,-1.3571,6.213502586288878e7,65996.40850143837,-31118.961850039264,1173.9802413270982,-1.7156225096072042e8,-158690.3418584251
24,-0.526,-1.3476,6.348021844672654e7,65832.24119255962,-30654.244683418263,961.5527589506232,-1.710251419032398e8,-155772.85353950135
25,-0.5096,-1.3382,6.463613302059261e7,65427.204890995396,-30326.67045535229,831.0217241719499,-1.7053023273754406e8,-153018.6427143352
26,-0.4931,-1.3287,6.5566251560840905e7,64942.197224802316,-30076.630337088987,741.0020116542639,-1.6991249467452225e8,-150511.76419984
27,-0.4767,-1.3192,6.6221313088520676e7,64521.72350571045,-29935.26793109089,691.7302264362123,-1.6950579150233376e8,-148761.5209358805
28,-0.4603,-1.3097,6.656140082288094e7,64278.841068827074,-29856.72744706103,665.445281383014,-1.6911090403251928e8,-147756.25132005956
29,-0.4438,-1.3002,6.656503565210602e7,64276.70862995981,-29863.000503129795,665.902445364726,-1.6893942406658903e8,-147767.88858658448
30,-0.4274,-1.2907,6.623043313366291e7,64514.45784953023,-29957.69709664761,693.1674260406426,-1.6901780773039788e8,-148805.41431200856
31,-0.4109,-1.2812,6.557655574966784e7,64927.52910353398,-30129.633658821844,745.1961666074394,-1.69204447806415e8,-150645.90483094426
32,-0.3945,-1.2717,6.4643489879287295e7,65402.34306329472,-30402.712649028057,833.8827311735254,-1.6967719709998e8,-153176.64230808252
33,-0.3781,-1.2622,6.348370149005629e7,65794.96660420384,-30720.312291962106,957.9721830410167,-1.7010150822873673e8,-155844.37470239695
34,-0.3616,-1.2527,6.2138643871719696e7,65946.00555985574,-31165.924114287744,1167.376325775672,-1.706562759759626e8,-158664.2806194074
35,-0.3452,-1.2433,6.060895780341743e7,65696.8216042816,-31747.73527101671,1491.7956045961278,-1.709831906280638e8,-161223.5694277527
36,-0.3288,-1.2338,5.88392061977082e7,64919.40143645762,-32484.279269933522,1996.377169546463,-1.7084252942961147e8,-163219.63928396025
37,-0.3123,-1.2243,5.673609780156549e7,63561.96888838449,-33443.05567604271,2839.7254644017125,-1.7030395692204472e8,-164748.6791719857
38,-0.2959,-1.2148,5.421984414990977e7,61691.77780935857,-34692.59049534595,4324.408023339562,-1.6938922376661882e8,-166156.69113671218
39,-0.2794,-1.2053,5.128397078399344e7,59506.66508572462,-36282.640968293614,6990.163333784387,-1.682474835908953e8,-168016.93238369396
40,-0.263,-1.1958,4.802798474784152e7,57302.02873358981,-38384.84385576562,12244.744598589265,-1.6787784435122362e8,-171827.1943040175
41,-0.2466,-1.1863,4.463963230658827e7,55410.179017547685,-41183.433415739986,23120.369423384316,-1.694298638955404e8,-179424.13802241202
42,-0.2301,-1.1768,4.1331982128745124e7,54146.78034135943,-44973.15755935157,47114.49653632992,-1.7458038193725586e8,-193538.4605313649
43,-0.2137,-1.1673,3.826631993968734e7,53784.287170221105,-49892.66096318775,99200.6609250187,-1.8409807128671718e8,-216914.89578923106
44,-0.1973,-1.1578,3.5498234266067415e7,54534.32037529318,-55361.8918083975,200511.32212613776,-1.9582663843189168e8,-250274.4901559218
45,-0.1808,-1.1483,3.2969045265264828e7,56495.20888998163,-58031.56775545877,305705.0498775387,-1.982608900840248e8,-280731.226657971
